user,Administration response_angry,Administration response_apathetic,Administration response_appreciative,Administration response_disappointed,Administration response_empathic,Administration response_frustrated,Administration response_proud,Administration response_saddened,Administration response_days
u00,2.5,1.0,2.0,3.25,1.25,3.25,1.5,3.75,108 days
u02,4.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1 days
u04,2.5,2.5,1.5,3.5,2.0,4.0,1.5,2.0,2 days
u08,5.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,1 days
u12,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1 days
u14,1.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,1 days
u16,4.333333333333333,1.3333333333333333,1.0,3.3333333333333335,1.0,3.6666666666666665,1.0,1.0,1 days
u17,1.0,1.0,3.0,1.0,3.0,2.5,3.0,1.0,3 days
u18,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1 days
u27,1.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1 days
u30,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1 days
u32,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,1 days
u33,3.5,5.0,1.5,4.5,1.0,3.5,1.0,3.0,4 days
u36,3.0,3.0,2.6666666666666665,2.6666666666666665,3.0,3.0,2.3333333333333335,3.0,2 days
u39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1 days
u43,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1 days
u44,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1 days
u49,1.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,1 days
u50,1.0,1.0,2.0,1.0,2.5,1.0,1.5,1.0,1 days
u51,1.0,1.0,2.5,1.0,1.5,1.0,2.5,1.0,1 days
u52,1.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1 days
u53,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1 days
u56,3.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0,1 days
u57,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,1 days
u58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1 days
u59,1.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1 days
