user,Comment_days,Comment_null,Comment_comment
u00,59 days,0,0
u01,31 days,0,0
u02,4 days,0,0
u03,31 days,0,0
u04,21 days,0,0
u05,4 days,0,0
u07,31 days,0,0
u08,44 days,0,0
u09,1 days,"tfff43.70493499,-72.28849331ttccf",0
u10,4 days,0,0
u12,11 days,0,0
u13,1 days,"43.7062927,-72.28705901ggggvvvvyvvvh",0
u14,35 days,0,0
u15,1 days,"43.70638819,-72.2870556gccgccsjxjxfvb",0
u16,67 days,0,0
u17,36 days,0,0
u18,26 days,0,0
u19,69 days,0,0
u20,13 days,0,0
u22,23 days,0,0
u23,22 days,0,0
u24,55 days,0,0
u25,13 days,0,0
u27,24 days,0,0
u30,28 days,0,0
u31,9 days,0,0
u32,11 days,0,0
u33,67 days,0,0
u34,5 days,0,0
u35,29 days,0,0
u36,23 days,0,0
u39,17 days,0,0
u41,1 days,xdfrfffcc,0
u42,10 days,0,0
u43,29 days,0,0
u44,65 days,0,0
u45,1 days,"vgvvvbhhhh43.70526879,-72.28873019gcgg",0
u46,11 days,0,0
u47,1 days,"gt43.70449557,-72.28841917cc43.70409929,-72.2882126743.70449557,-72.28841917",0
u49,68 days,0,0
u50,0 days,"43.70634231,-72.2871038743.7042661,-72.2887634t43.70651454,-72.2877324143.7042661,-72.2887634GHyou",0
u51,23 days,0,0
u52,1 days,"yyy43.70427927,-72.2897170543.70667962,-72.28698877",0
u53,21 days,0,0
u54,0 days,"43.70651883,-72.28674013tGHyturn",0
u56,25 days,0,0
u57,25 days,0,I want to do my networks homework todayI'm exhaustedFinishing homework before fencing club nationalsFencing club nationalsWorking on computer networks homeworkGirlsIt is hailing in April!Finishing computer networks homework today before midnightcomputer networksHomeworkhomework
u58,17 days,0,not overambitious finally!
