user,Dimensions protestors_angry,Dimensions protestors_apathetic,Dimensions protestors_appreciative,Dimensions protestors_disappointed,Dimensions protestors_empathic,Dimensions protestors_frustrated,Dimensions protestors_proud,Dimensions protestors_saddened,Dimensions protestors_days
u00,3.5,2.0,1.5,4.0,2.0,2.0,1.5,4.5,1 days
u01,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1 days
u03,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1 days
u04,2.0,2.0,1.0,4.0,2.0,5.0,1.0,2.0,1 days
u07,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1 days
u08,4.0,1.0,2.0,5.0,3.0,5.0,1.0,2.0,1 days
u10,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1 days
u12,4.0,2.0,1.0,5.0,1.0,3.0,1.0,4.0,1 days
u16,4.5,3.5,1.0,5.0,1.0,4.5,1.0,1.0,1 days
u17,1.0,1.0,3.0,1.5,3.5,1.0,2.5,1.0,4 days
u19,1.5,2.5,1.0,2.5,1.0,2.5,1.5,1.0,1 days
u22,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1 days
u27,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1 days
u30,3.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,1 days
u33,1.0,5.0,3.0,1.0,4.0,1.0,3.0,1.0,1 days
u43,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1 days
u46,3.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,1 days
u49,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1 days
u51,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1 days
u53,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1 days
u58,1.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,1 days
u59,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1 days
