user,Dimensions_describe,Dimensions_days
u00,awesomefunsbullshit,5 days
u03,directions,1 days
u07,Propaganda,1 days
u08,get to know dartmouthget to know Dartmouthintroducing dartmouthintroduction of Dartmouth,3 days
u10,propaganda,1 days
u14,it finalized my decision to attend Dartmouth,1 days
u16,"it's where you get a feel for Dartmouth by experiencing the classes, the people, and the campus over two activity-packed days",1 days
u17,enthusiasm energeticgame changergame changer,9 days
u18,indoctrinationindoctrination,1 days
u19,cool sit in classes and pretend to like all the other prospies,1 days
u30,great,1 days
u33,"""Camp Dartmouth"" for prospective students",1 days
u36,aspect,1 days
u43,I don't know anything about it,1 days
u46,a great facade for Dartmouth that is true in some aspects,1 days
u57,a fun introduction to Dartmouth,1 days
u59,super cool and friendlyvery fun and a lot of cool eventsthe protesters don't the protesters were wrong for ruining dimensionsThe students are great,2 days
