user,Dining Halls_breakfast,Dining Halls_dinner,Dining Halls_lunch,Dining Halls_days
u00,5.857142857142857,6.571428571428571,6.571428571428571,9 days
u01,6.25,5.0,4.0,13 days
u02,8.0,4.9,1.8,27 days
u03,7.0,8.0,7.0,1 days
u04,1.0,2.0,2.5,19 days
u07,8.0,3.25,6.75,6 days
u08,7.3,1.8,2.7,14 days
u10,3.0,2.2857142857142856,3.7142857142857144,22 days
u14,5.0,2.0,3.0,1 days
u16,2.5454545454545454,3.727272727272727,3.0,29 days
u17,8.0,6.333333333333333,8.0,15 days
u19,5.035714285714286,4.142857142857143,4.857142857142857,40 days
u22,1.0,6.0,3.0,18 days
u23,1.0,1.0,1.0,1 days
u24,1.0,3.0,3.0,1 days
u27,8.0,2.0,2.0,1 days
u30,1.0,2.6666666666666665,1.6666666666666667,2 days
u32,6.333333333333333,2.3333333333333335,4.666666666666667,13 days
u33,7.8,3.2,6.6,22 days
u35,8.0,7.0,8.0,12 days
u36,7.4,7.4,7.4,20 days
u42,7.0,7.0,5.666666666666667,5 days
u43,8.0,3.0,3.0,1 days
u44,5.0,5.0,5.333333333333333,16 days
u45,7.0,7.0,8.0,1 days
u46,1.0,7.0,4.0,1 days
u49,4.9375,3.1875,6.5,33 days
u51,4.5,4.5,4.5,21 days
u52,8.0,3.0,3.0,1 days
u53,7.0,7.0,7.0,9 days
u56,8.0,7.0,7.5,14 days
u57,2.7857142857142856,2.642857142857143,4.357142857142857,19 days
u58,7.4,7.933333333333334,7.8,35 days
u59,7.708333333333333,3.7083333333333335,3.875,43 days
