user,QR_Code_qr_code,QR_Code_days
u00,http://www.robabdul.com07140424http://neom.us/6857897544http://www.twitter.com/tobiaswrighthttp://www.robabdul.comhttp://www.robabdul.comhttp://www.robabdul.com0784310109491039https://pass.is/dpCDy7http://www.robabdul.comhttp://www.robabdul.com07608715http://www.robabdul.com11116840767717777757775777677777576131479757775777577777775777776757677757777757575757777771975777775777677777776,55 days
u01,55.07692307692308,31 days
u02,47.4375,45 days
u03,47.44444444444444,30 days
u04,240410.27272727274,41 days
u05,58.0,2 days
u07,22.11111111111111,37 days
u08,41.89473684210526,31 days
u09,57.0,3 days
u10,11.61111111111111,28 days
u12,19.571428571428573,34 days
u13,11111251475212241391101381113716https://play.google.com/store/apps/details?id=edu.cmu.hcii.UBICOMP201234,9 days
u14,19.80952380952381,46 days
u15,67.71428571428571,27 days
u16,16.772727272727273,38 days
u17,41.86842105263158,59 days
u18,58.529411764705884,37 days
u19,32.84,43 days
u20,35.44444444444444,9 days
u22,57.42857142857143,15 days
u23,22.0,11 days
u24,45.81818181818182,53 days
u25,9821http://www.dreambaby.com.au/scripts/qr.asp?sku=L71688166,7 days
u27,60.07142857142857,42 days
u30,40.833333333333336,44 days
u31,67.475,17 days
u32,70.92,38 days
u33,57.07692307692308,23 days
u34,71.0,1 days
u35,46.5,32 days
u36,76.0,1 days
u41,72.5,1 days
u42,51.5,10 days
u43,63.3,39 days
u44,21.153846153846153,36 days
u45,45.833333333333336,33 days
u46,26.25,13 days
u47,65.66666666666667,3 days
u49,12.95,36 days
u50,1548110.2857142857,43 days
u51,45.666666666666664,18 days
u52,33.666666666666664,16 days
u53,52.72727272727273,36 days
u54,29.11111111111111,34 days
u57,36.074074074074076,45 days
u58,53.416666666666664,37 days
u59,61.16,58 days
