user,Sleep_hour,Sleep_rate,Sleep_social,Sleep_days,Sleep_null
u00,6.2063492063492065,1.7301587301587302,0.9682539682539683,71 days,0.0
u01,6.09375,1.34375,1.5625,30 days,0.0
u02,6.645161290322581,1.6774193548387097,1.1612903225806452,43 days,0.0
u03,6.848484848484849,1.4545454545454546,0.9393939393939394,59 days,0.0
u04,5.7894736842105265,1.8421052631578947,0.8947368421052632,43 days,0.0
u05,3.75,0.75,0.75,8 days,0.0
u07,5.827586206896552,1.6551724137931034,0.8620689655172413,40 days,0.6206896551724138
u08,6.239130434782608,1.6956521739130435,1.0217391304347827,61 days,0.6086956521739131
u09,3.0,0.625,0.375,5 days,2.75
u10,6.90566037735849,1.8679245283018868,1.0566037735849056,59 days,0.0
u12,6.375,1.3125,0.90625,72 days,0.0
u13,1.3333333333333333,0.16666666666666666,0.16666666666666666,16 days,0.0
u14,5.9714285714285715,1.4285714285714286,1.1714285714285715,47 days,0.0
u15,5.791666666666667,1.5,1.0,67 days,0.0
u16,7.3428571428571425,1.8,1.1285714285714286,66 days,0.22857142857142856
u17,4.260869565217392,2.3260869565217392,2.0869565217391304,61 days,0.0
u18,5.0,1.4871794871794872,1.4871794871794872,67 days,0.0
u19,7.065573770491803,1.4918032786885247,2.0491803278688523,57 days,0.0
u20,4.529411764705882,1.2941176470588236,0.7058823529411765,20 days,0.0
u22,6.64,1.24,0.8,44 days,0.0
u23,6.137931034482759,1.2758620689655173,1.0,30 days,0.0
u24,5.057142857142857,1.5142857142857142,0.9428571428571428,64 days,0.0
u25,5.55,1.55,1.2,30 days,0.0
u27,4.1,2.1,1.1,60 days,0.0
u30,6.05,1.3,0.925,44 days,0.0
u31,3.75,1.75,1.5625,18 days,0.0
u32,7.365384615384615,2.1153846153846154,1.1923076923076923,72 days,0.36538461538461536
u33,6.108695652173913,2.0434782608695654,1.3043478260869565,67 days,0.0
u34,4.0,0.75,0.6666666666666666,51 days,0.0
u35,5.8,1.2,0.9666666666666667,65 days,0.0
u36,6.54054054054054,1.7027027027027026,0.8648648648648649,49 days,0.0
u39,5.571428571428571,0.7142857142857143,0.7142857142857143,33 days,0.0
u41,5.888888888888889,1.5,0.7777777777777778,50 days,0.0
u42,3.76,0.88,0.96,67 days,0.0
u43,6.233333333333333,1.8666666666666667,1.3666666666666667,48 days,0.0
u44,8.34920634920635,1.0476190476190477,1.9365079365079365,70 days,0.0
u45,5.3125,0.75,0.9375,53 days,0.0
u46,4.9655172413793105,1.8620689655172413,1.103448275862069,44 days,0.0
u47,4.214285714285714,1.0,0.9285714285714286,65 days,0.0
u49,6.065217391304348,1.8043478260869565,1.434782608695652,68 days,0.0
u50,3.727272727272727,1.1818181818181819,0.7272727272727273,51 days,2.0
u51,6.153846153846154,1.7179487179487178,1.0769230769230769,72 days,0.0
u52,5.793103448275862,1.0,1.1379310344827587,54 days,0.0
u53,5.694444444444445,2.3333333333333335,1.8888888888888888,65 days,0.0
u54,3.7222222222222223,1.5,1.0555555555555556,29 days,0.3333333333333333
u56,7.222222222222222,1.5925925925925926,0.7777777777777778,74 days,0.0
u57,7.491803278688525,1.9508196721311475,1.0491803278688525,65 days,0.0
u58,7.258620689655173,1.5517241379310345,1.0,60 days,0.0
u59,6.095890410958904,2.1232876712328768,1.904109589041096,67 days,0.0
