user,Social_number,Social_days,Social_null
u00,2.6530612244897958,74 days,0
u01,2.739130434782609,26 days,0
u02,2.24,56 days,0
u03,1.24,45 days,0
u04,2.6774193548387095,51 days,0
u05,2.3636363636363638,6 days,0
u07,2.7857142857142856,25 days,0.5357142857142857
u08,2.4791666666666665,57 days,0
u09,0.5,4 days,0
u10,2.764705882352941,61 days,0
u12,1.608695652173913,50 days,0
u13,0.0,1 days,"33143.70480167,-72.2884378943.70480167,-72.2884378943.70480167,-72.28843789"
u14,2.625,66 days,0
u15,2.933333333333333,30 days,0
u16,2.688888888888889,67 days,0
u17,2.111111111111111,64 days,0
u18,1.5925925925925926,65 days,0
u19,3.090909090909091,68 days,0
u20,1.3076923076923077,9 days,0
u22,2.057142857142857,40 days,0
u23,0.972972972972973,29 days,0
u24,3.0,26 days,0
u25,2.263157894736842,28 days,0
u27,1.619047619047619,69 days,0
u30,3.0476190476190474,32 days,0
u31,1.0,25 days,0
u32,3.2777777777777777,58 days,0
u33,3.3783783783783785,60 days,0
u34,1.7272727272727273,13 days,0
u35,1.8888888888888888,47 days,0
u36,1.837837837837838,66 days,0
u39,0.6875,32 days,0
u41,2.1818181818181817,27 days,0
u42,1.5416666666666667,69 days,0
u43,2.795918367346939,66 days,0
u44,1.967741935483871,65 days,0
u45,2.15,43 days,0
u46,2.909090909090909,47 days,0
u47,2.5714285714285716,66 days,0
u49,2.973684210526316,68 days,0
u50,0.8333333333333334,18 days,0
u51,1.4736842105263157,73 days,0
u52,1.736842105263158,21 days,0
u53,2.5,68 days,0
u54,1.875,37 days,0
u56,1.6666666666666667,72 days,0
u57,4.444444444444445,68 days,0
u58,1.9534883720930232,64 days,0
u59,4.2405063291139244,68 days,0
