user,Study Spaces_null,Study Spaces_place,Study Spaces_productivity,Study Spaces_noise,Study Spaces_days
u00,10.0,"sudiking Arthur cafe
libraryhomrnowheresukdicoff room 319officehomepubnowherehome
homw",29,17.0,25 days
u01,2.0,My single,4,0.0,1 days
u02,2.0,sudikoff 148Collissudi 002my room,11,3.0,26 days
u03,5.0,homedanahomehome,6,1.0,8 days
u04,3.0,king Arthur flour my room Ripley 205king Arthur flour,13,7.0,24 days
u07,4.0,Morton 101bMorton 101b,6,0.0,5 days
u08,17.0,berry 1berry 1kresgesudikoff basementmy room south fay sudi 003sudi 003sudi 115sudi 143McLane kemeny 006sudisudi mclanesudi 003my roommy roomsudiberry 1kafmy room.my roomsudimy room,58,35.0,33 days
u10,12.0,librarylibssudilibslibsroomliblublibasudi,23,8.0,23 days
u14,2.0,sudikoffsudikoffsudikoff,11,1.0,4 days
u15,4.0,bus,1,0.0,1 days
u16,11.0,roomroomroomroomroomlabroomdorm roomlab 005  sudikoffdorm roomlab 005dorm roomdorm roomdorm roomlab 005,41,24.0,27 days
u17,21.0,robodorm gilegilegilegilegilegilegilegilegiledormgilegilwdormdormgilegiledirt cowboygilegilegilegile,50,25.0,36 days
u18,4.0,cLhclh neukom roomclhLSC,12,3.0,36 days
u19,7.0,sudikoffberry study loungeMcLaughlinmcloughlinnovackMcLaughlinsudikofftiltfactorcollisMcLaughlinsudikoff 001Collis 223alpha thetaMcLaughlinsudikoff 001sudikoff 001sudikoff 001Collis 212sudikoff 001sarner McLaughlinsudikoff 001,73,21.0,38 days
u22,6.0,north mass 409roomdormdormdirm,20,3.0,26 days
u23,0.0,,1,1.0,1 days
u24,2.0,"roomsudikoffm&S's department, silsby",6,2.0,29 days
u25,6.0,Sudi 003Sudikoff 002,5,0.0,3 days
u27,5.0,bakernovackbakernovackbakerroom,14,5.0,15 days
u30,5.0,New Hamp (dorm) common roomSudikoff 0031902 roomSudikoff 002Paddock library,18,5.0,13 days
u31,1.0,sudi 001,2,0.0,1 days
u32,4.0,my room. mid mass 405my room midmass405foco,10,2.0,9 days
u33,6.0,my roommy roommy roommy roommy roommy roomm210Novack,15,13.0,42 days
u35,4.0,"Dana public area
danahome
danasudi",11,1.0,4 days
u36,0.0,buildingbuildingbuildingbuildingbuildingroombuildingbuildingbuildingbuilding,30,16.0,14 days
u39,0.0,"lab
",1,1.0,1 days
u42,3.0,Dana library sudikoffsudihomesudi105sudihomehome,18,12.0,25 days
u43,12.0,"room, butterfieldsister's roomgf's roomroomroom, this morning roomcs help session cs help sessioncs help session. ",22,12.0,26 days
u44,6.0,"sudikoffhomesudikoffsudikoff
sudikoffsudikoffsudikoffsudikuffsudikoffsudikoffsudikoffsudikoffsudikoffhomehomesudikoff master labsudikoffhomesudikoffhonrsudikoffsudikoff",59,16.0,37 days
u45,1.0,sudikoff001sudikoFFDana library,4,2.0,19 days
u46,0.0,library,2,2.0,1 days
u47,2.0,001002 sudikoff,3,0.0,1 days
u49,3.0,Choates My Dorm RoomSudikoff 006Kemeney novack 73 my dormmy roomnovackmy roommy roomberry near academic services my roommy roommy roomMurdough 334my room,49,27.0,40 days
u50,0.0,lab147,1,1.0,1 days
u51,6.0,"sud sudhomesudsudsudsudhomeoutoutside
sudsud",27,6.0,26 days
u52,9.0,I wasn't...I wasn'tfrat common room,5,0.0,6 days
u53,6.0,lab 004 sudikofflaundry roomnorth park laundry roomlab 004lab 004home lab 004 sudikoffhome -- n. park stlab 004 sudilab 143 sudi,32,14.0,30 days
u54,5.0,Berry 1Sudi 003Berry 1McLane 4th floorDana cubiclesBerry 1 ,15,3.0,13 days
u56,1.0,Moore240 moore,4,1.0,18 days
u57,7.0,Alpha Theta SLRAlpha Theta Porch3rd floor berryAlpha Theta SLRSudikoff 148Sudikoff 148sudikoff 214outside the lscsudikoff 003,26,6.0,23 days
u58,9.0,room roomroom laundry room room room room room room roomroom room room room room room room room room ,51,19.0,39 days
u59,14.0,212 Russell Sagemy roommy roomCollissudikoffHop Piano roomHitchcock basementNovackmy dorm floorsudikoffmy roomSudikoff 003SudikoffsudikoffairplaneCollis DiningRainbow RoomCollisNovackRussell Sage 212Graduate Apartments,63,30.0,41 days
