user_date,Activity_Social2,Activity_null,Activity_other_relaxing,Activity_other_working,Activity_relaxing,Activity_working,Activity_user,Administration response_angry,Administration response_apathetic,Administration response_appreciative,Administration response_disappointed,Administration response_empathic,Administration response_frustrated,Administration response_proud,Administration response_saddened,Administration response_user,Behavior_anxious,Behavior_critical,Behavior_user,Behavior_null,Behavior_calm,Behavior_conventional,Behavior_dependable,Behavior_disorganized,Behavior_enthusiastic,Behavior_experiences,Behavior_reserved,Behavior_sympathetic,Boston Bombing_boston,Boston Bombing_user,Cancelled Classes_user,Class 2_challenge,Class 2_effort,Class 2_grade,Class 2_user,Class_due,Class_experience,Class_hours,Class_user,Class_null,Comment_user,Dartmouth now_angry,Dartmouth now_apathetic,Dartmouth now_appreciative,Dartmouth now_disappointed,Dartmouth now_empathic,Dartmouth now_frustrated,Dartmouth now_proud,Dartmouth now_saddened,Dartmouth now_user,Dimensions protestors_angry,Dimensions protestors_apathetic,Dimensions protestors_appreciative,Dimensions protestors_disappointed,Dimensions protestors_empathic,Dimensions protestors_frustrated,Dimensions protestors_proud,Dimensions protestors_saddened,Dimensions protestors_user,Dimensions_user,Dining Halls_breakfast,Dining Halls_dinner,Dining Halls_lunch,Dining Halls_user,Events_negative,Events_positive,Events_user,Exercise_exercise,Exercise_walk,Exercise_user,Exercise_have,Exercise_schedule,Green Key 1_user,Green Key 2_user,Green Key 2_excited,Lab_duration,Lab_enjoy,Lab_user,Mood 1_tomorrow,Mood 1_user,Mood 2_how,Mood 2_user,Mood 2_null,Mood_happy,Mood_sad,Mood_user,Mood_happyornot,Mood_sadornot,PAM_picture_idx,PAM_user,QR_Code_user,QR_Code_qr_code,Sleep_hour,Sleep_rate,Sleep_social,Sleep_user,Sleep_null,Social_number,Social_user,Social_null,Stress_level,Stress_user,Stress_null,Study Spaces_null,Study Spaces_productivity,Study Spaces_noise,Study Spaces_user
u00_2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,u00,u00,,0.0,0.0,0.0,u00,,0.0,u00,,0.0,u00,,,,,
u00_2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,u00,u00,,8.0,1.0,1.0,u00,,5.0,u00,,2.0,u00,,,,,
u00_2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.125,u00,u00,,7.666666666666667,2.0,1.0,u00,,1.0,u00,,1.0,u00,,,,,
u00_2013-03-27,1.5,2.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,2.0,3.0,2.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,u00,u00,,7.0,1.5,1.0,u00,,3.5,u00,,1.0,u00,,,,,
u00_2013-03-28,1.5,1.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,2.5,1.5,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,u00,u00,,7.5,1.5,1.0,u00,,4.0,u00,,3.1666666666666665,u00,,,,,
u00_2013-03-29,3.0,2.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,2.0,3.0,2.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,u00,u00,,5.333333333333333,2.333333333333333,1.0,u00,,4.0,u00,,2.5,u00,,,,,
u00_2013-03-30,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,u00,u00,,,,,u00,,2.0,u00,,,u00,,,,,
u00_2013-03-31,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,1.0,1.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,u00,u00,,9.0,2.0,1.0,u00,,2.0,u00,,4.5,u00,,,,,
u00_2013-04-01,2.0,3.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,1.0,2.0,4.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.714285714285714,u00,u00,,3.0,4.0,1.0,u00,,,u00,,,u00,,,,,
u00_2013-04-02,2.0,1.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,3.0,3.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.333333333333333,u00,,,,,,,,,,,,,,,,,,,8.666666666666666,u00,u00,,,,,u00,,2.0,u00,,1.5,u00,,,,,
