user_date,conversation_duration(sec),conversation_user
u00_2013-03-27,25463.0,u00
u00_2013-03-28,24867.0,u00
u00_2013-03-29,29118.0,u00
u00_2013-03-30,36504.0,u00
u00_2013-03-31,25252.0,u00
u00_2013-04-01,30264.0,u00
u00_2013-04-02,26646.0,u00
u00_2013-04-03,30838.0,u00
u00_2013-04-04,16737.0,u00
u00_2013-04-05,39048.0,u00
u00_2013-04-06,27483.0,u00
u00_2013-04-07,15389.0,u00
u00_2013-04-08,29441.0,u00
u00_2013-04-09,18092.0,u00
u00_2013-04-10,20736.0,u00
u00_2013-04-11,28756.0,u00
u00_2013-04-12,37657.0,u00
u00_2013-04-13,21131.0,u00
u00_2013-04-14,11609.0,u00
u00_2013-04-15,31977.0,u00
u00_2013-04-16,24364.0,u00
u00_2013-04-17,23530.0,u00
u00_2013-04-18,21723.0,u00
u00_2013-04-19,30165.0,u00
u00_2013-04-20,38310.0,u00
u00_2013-04-21,14944.0,u00
u00_2013-04-22,10938.0,u00
u00_2013-04-23,36849.0,u00
u00_2013-04-24,20115.0,u00
u00_2013-04-25,29359.0,u00
u00_2013-04-26,33141.0,u00
u00_2013-04-27,27307.0,u00
u00_2013-04-28,16776.0,u00
u00_2013-04-29,35848.0,u00
u00_2013-04-30,23681.0,u00
u00_2013-05-01,24290.0,u00
u00_2013-05-02,8534.0,u00
u00_2013-05-03,29522.0,u00
u00_2013-05-04,23228.0,u00
u00_2013-05-05,24266.0,u00
u00_2013-05-06,30052.0,u00
u00_2013-05-07,49947.0,u00
u00_2013-05-08,18348.0,u00
u00_2013-05-09,22717.0,u00
u00_2013-05-10,23016.0,u00
u00_2013-05-11,23478.0,u00
u00_2013-05-12,23048.0,u00
u00_2013-05-13,26735.0,u00
u00_2013-05-14,14955.0,u00
u00_2013-05-15,36902.0,u00
u00_2013-05-16,33046.0,u00
u00_2013-05-17,32235.0,u00
u00_2013-05-18,0.0,u00
u00_2013-05-19,9400.0,u00
u00_2013-05-20,4456.0,u00
u00_2013-05-21,0.0,u00
u00_2013-05-22,1894.0,u00
u00_2013-05-23,23103.0,u00
u00_2013-05-24,21522.0,u00
u00_2013-05-25,24594.0,u00
u00_2013-05-26,11204.0,u00
u00_2013-05-27,33330.0,u00
u00_2013-05-28,33726.0,u00
u00_2013-05-29,30640.0,u00
u00_2013-05-30,20292.0,u00
u00_2013-05-31,32058.0,u00
u01_2013-03-27,21963.0,u01
u01_2013-03-28,22946.0,u01
u01_2013-03-29,35206.0,u01
u01_2013-03-30,26876.0,u01
u01_2013-03-31,24042.0,u01
u01_2013-04-01,30989.0,u01
u01_2013-04-02,11181.0,u01
u01_2013-04-03,48682.0,u01
u01_2013-04-04,37401.0,u01
u01_2013-04-05,38333.0,u01
u01_2013-04-06,33001.0,u01
