user_date,phonecharge_duration(sec),phonecharge_user
u00_2013-03-27,22571.0,u00
u00_2013-03-28,11208.0,u00
u00_2013-03-29,20332.0,u00
u00_2013-03-30,7804.0,u00
u00_2013-03-31,36210.0,u00
u00_2013-04-01,6130.0,u00
u00_2013-04-02,11243.0,u00
u00_2013-04-03,0.0,u00
u00_2013-04-04,3857.0,u00
u00_2013-04-05,34150.0,u00
u00_2013-04-06,0.0,u00
u00_2013-04-07,31706.0,u00
u00_2013-04-08,23165.0,u00
u00_2013-04-09,47903.0,u00
u00_2013-04-10,24444.0,u00
u00_2013-04-11,13179.0,u00
u00_2013-04-12,17844.0,u00
u00_2013-04-13,42314.0,u00
u00_2013-04-14,16585.0,u00
u00_2013-04-15,15533.0,u00
u00_2013-04-16,39844.0,u00
u00_2013-04-17,11779.0,u00
u00_2013-04-18,11184.0,u00
u00_2013-04-19,65778.0,u00
u00_2013-04-20,38385.0,u00
u00_2013-04-21,41973.0,u00
u00_2013-04-22,11506.0,u00
u00_2013-04-23,31064.0,u00
u00_2013-04-24,20694.0,u00
u00_2013-04-25,47916.0,u00
u00_2013-04-26,52432.0,u00
u00_2013-04-27,0.0,u00
u00_2013-04-28,8722.0,u00
u00_2013-04-29,53213.0,u00
u00_2013-04-30,0.0,u00
u00_2013-05-01,11197.0,u00
u00_2013-05-02,22972.0,u00
u00_2013-05-03,0.0,u00
u00_2013-05-04,0.0,u00
u00_2013-05-05,25243.0,u00
u00_2013-05-06,21015.0,u00
u00_2013-05-07,17197.0,u00
u00_2013-05-08,0.0,u00
u00_2013-05-09,42727.0,u00
u00_2013-05-10,0.0,u00
u00_2013-05-11,0.0,u00
u00_2013-05-12,7402.0,u00
u00_2013-05-13,35074.0,u00
u00_2013-05-14,0.0,u00
u00_2013-05-15,31943.0,u00
u00_2013-05-16,18806.0,u00
u00_2013-05-17,0.0,u00
u00_2013-05-18,0.0,u00
u00_2013-05-19,0.0,u00
u00_2013-05-20,0.0,u00
u00_2013-05-21,0.0,u00
u00_2013-05-22,0.0,u00
u00_2013-05-23,0.0,u00
u00_2013-05-24,0.0,u00
u00_2013-05-25,4497.0,u00
u00_2013-05-26,21310.0,u00
u00_2013-05-27,0.0,u00
u00_2013-05-28,0.0,u00
u00_2013-05-29,0.0,u00
u00_2013-05-30,32850.0,u00
u01_2013-03-27,28039.0,u01
u01_2013-03-28,29181.0,u01
u01_2013-03-29,0.0,u01
u01_2013-03-30,70624.0,u01
