user_date,activity_ activity inference,activity_user_x,audio_ audio inference,audio_user_y,conversation_duration(sec),conversation_user,dark_duration(sec),dark_user,phonecharge_duration(sec),phonecharge_user,phonelock_duration(sec),phonelock_user
u00_2013-03-27,2128,u00,30135,u00,25463,u00,33392,u00,22571,u00,35442,u00
u00_2013-03-28,1278,u00,27959,u00,24867,u00,13453,u00,11208,u00,9803,u00
u00_2013-03-29,1927,u00,42045,u00,29118,u00,40642,u00,20332,u00,41141,u00
u00_2013-03-30,863,u00,49403,u00,36504,u00,9141,u00,7804,u00,35346,u00
u00_2013-03-31,2224,u00,36764,u00,25252,u00,58879,u00,36210,u00,59268,u00
u00_2013-04-01,1174,u00,32344,u00,30264,u00,6370,u00,6130,u00,16269,u00
u00_2013-04-02,1911,u00,43302,u00,26646,u00,69796,u00,11243,u00,46323,u00
u00_2013-04-03,1572,u00,36887,u00,30838,u00,24915,u00,0,u00,36622,u00
u00_2013-04-04,1535,u00,23634,u00,16737,u00,4179,u00,3857,u00,33945,u00
u00_2013-04-05,2202,u00,49390,u00,39048,u00,54294,u00,34150,u00,60767,u00
u00_2013-04-06,1848,u00,31209,u00,27483,u00,46193,u00,0,u00,27964,u00
u00_2013-04-07,914,u00,22908,u00,15389,u00,16332,u00,31706,u00,48097,u00
u00_2013-04-08,2003,u00,37173,u00,29441,u00,74535,u00,23165,u00,42368,u00
u00_2013-04-09,1160,u00,20768,u00,18092,u00,50016,u00,47903,u00,39724,u00
u00_2013-04-10,1055,u00,29822,u00,20736,u00,3927,u00,24444,u00,23804,u00
u00_2013-04-11,1505,u00,37596,u00,28756,u00,4005,u00,13179,u00,8269,u00
u00_2013-04-12,1156,u00,40832,u00,37657,u00,41467,u00,17844,u00,33199,u00
u00_2013-04-13,1175,u00,22833,u00,21131,u00,54778,u00,42314,u00,49159,u00
u00_2013-04-14,839,u00,20061,u00,11609,u00,32361,u00,16585,u00,46794,u00
u00_2013-04-15,1170,u00,39852,u00,31977,u00,48099,u00,15533,u00,28617,u00
u00_2013-04-16,681,u00,30944,u00,24364,u00,34852,u00,39844,u00,44971,u00
u00_2013-04-17,1355,u00,27561,u00,23530,u00,22088,u00,11779,u00,15605,u00
u00_2013-04-18,925,u00,25633,u00,21723,u00,44889,u00,11184,u00,18713,u00
u00_2013-04-19,3893,u00,44025,u00,30165,u00,56581,u00,65778,u00,24632,u00
u00_2013-04-20,4449,u00,49652,u00,38310,u00,49610,u00,38385,u00,82702,u00
u00_2013-04-21,774,u00,20602,u00,14944,u00,35447,u00,41973,u00,27949,u00
u00_2013-04-22,1199,u00,14953,u00,10938,u00,44827,u00,11506,u00,30669,u00
u00_2013-04-23,1696,u00,40661,u00,36849,u00,21229,u00,31064,u00,37658,u00
u00_2013-04-24,509,u00,28812,u00,20115,u00,44844,u00,20694,u00,20424,u00
u00_2013-04-25,1132,u00,32424,u00,29359,u00,32150,u00,47916,u00,33112,u00
u00_2013-04-26,1396,u00,37330,u00,33141,u00,32476,u00,52432,u00,60782,u00
u00_2013-04-27,3341,u00,38172,u00,27307,u00,7730,u00,0,u00,40189,u00
u00_2013-04-28,1346,u00,21738,u00,16776,u00,28737,u00,8722,u00,42559,u00
u00_2013-04-29,1313,u00,34203,u00,35848,u00,24852,u00,53213,u00,50438,u00
u00_2013-04-30,655,u00,26502,u00,23681,u00,30590,u00,0,u00,25922,u00
u00_2013-05-01,3285,u00,42742,u00,24290,u00,24879,u00,11197,u00,24622,u00
u00_2013-05-02,417,u00,14751,u00,8534,u00,4288,u00,22972,u00,26002,u00
u00_2013-05-03,2292,u00,41545,u00,29522,u00,16986,u00,0,u00,48095,u00
u00_2013-05-04,1539,u00,38633,u00,23228,u00,4644,u00,0,u00,31348,u00
u00_2013-05-05,3165,u00,50795,u00,24266,u00,11450,u00,25243,u00,36493,u00
u00_2013-05-06,3602,u00,56526,u00,30052,u00,57764,u00,21015,u00,44196,u00
u00_2013-05-07,1323,u00,70236,u00,49947,u00,18589,u00,17197,u00,47632,u00
u00_2013-05-08,4193,u00,52062,u00,18348,u00,55748,u00,0,u00,37967,u00
u00_2013-05-09,1180,u00,27952,u00,22717,u00,30106,u00,42727,u00,86494,u00
u00_2013-05-10,1223,u00,28167,u00,23016,u00,14739,u00,0,u00,9274,u00
u00_2013-05-11,1607,u00,31326,u00,23478,u00,42655,u00,0,u00,24936,u00
u00_2013-05-12,909,u00,26445,u00,23048,u00,15854,u00,7402,u00,17457,u00
u00_2013-05-13,1360,u00,32187,u00,26735,u00,58139,u00,35074,u00,54150,u00
u00_2013-05-14,923,u00,18124,u00,14955,u00,0,u00,0,u00,26847,u00
u00_2013-05-15,1385,u00,39965,u00,36902,u00,15601,u00,31943,u00,47259,u00
u00_2013-05-16,6331,u00,48665,u00,33046,u00,30853,u00,18806,u00,37519,u00
u00_2013-05-17,1116,u00,34513,u00,32235,u00,0,u00,0,u00,4420,u00
u00_2013-05-18,0,u00,0,u00,0,u00,0,u00,0,u00,0,u00
u00_2013-05-19,753,u00,12813,u00,9400,u00,12983,u00,0,u00,18202,u00
u00_2013-05-20,0,u00,3209,u00,4456,u00,0,u00,0,u00,0,u00
u00_2013-05-21,0,u00,0,u00,0,u00,0,u00,0,u00,0,u00
u00_2013-05-22,406,u00,3077,u00,1894,u00,0,u00,0,u00,0,u00
u00_2013-05-23,1648,u00,35589,u00,23103,u00,3888,u00,0,u00,26391,u00
u00_2013-05-24,2657,u00,41018,u00,21522,u00,5749,u00,0,u00,13190,u00
u00_2013-05-25,1621,u00,42367,u00,24594,u00,4274,u00,4497,u00,0,u00
u00_2013-05-26,78,u00,8849,u00,11204,u00,61180,u00,21310,u00,63993,u00
u00_2013-05-27,853,u00,30675,u00,33330,u00,0,u00,0,u00,49383,u00
u00_2013-05-28,1065,u00,37541,u00,33726,u00,22074,u00,0,u00,14680,u00
u00_2013-05-29,1132,u00,37249,u00,30640,u00,3849,u00,0,u00,3995,u00
u00_2013-05-30,1195,u00,27030,u00,20292,u00,43423,u00,32850,u00,41885,u00
u00_2013-05-31,3721,u00,45275,u00,32058,u00,8259,u00,,,21788,u00
u01_2013-03-27,941,u01,29836,u01,21963,u01,66596,u01,28039,u01,47289,u01
u01_2013-03-28,1541,u01,35614,u01,22946,u01,61282,u01,29181,u01,56030,u01
u01_2013-03-29,1382,u01,45330,u01,35206,u01,23082,u01,0,u01,42141,u01
u01_2013-03-30,761,u01,30407,u01,26876,u01,63173,u01,70624,u01,108995,u01
u01_2013-03-31,398,u01,27516,u01,24042,u01,41933,u01,4321,u01,56952,u01
u01_2013-04-01,1469,u01,49908,u01,30989,u01,67288,u01,26240,u01,58370,u01
u01_2013-04-02,795,u01,19440,u01,11181,u01,0,u01,0,u01,47507,u01
u01_2013-04-03,951,u01,47851,u01,48682,u01,41011,u01,21728,u01,74747,u01
u01_2013-04-04,1362,u01,42747,u01,37401,u01,35757,u01,0,u01,43526,u01
u01_2013-04-05,1082,u01,44458,u01,38333,u01,39187,u01,35097,u01,86157,u01
u01_2013-04-06,920,u01,36918,u01,33001,u01,27491,u01,0,u01,41458,u01
u01_2013-04-07,930,u01,39651,u01,30972,u01,38781,u01,0,u01,44046,u01
u01_2013-04-08,1296,u01,50979,u01,37309,u01,53432,u01,33189,u01,58631,u01
u01_2013-04-09,413,u01,34708,u01,30546,u01,46388,u01,0,u01,47108,u01
u01_2013-04-10,693,u01,46798,u01,41501,u01,76148,u01,20175,u01,72342,u01
u01_2013-04-11,655,u01,34803,u01,25895,u01,81469,u01,33035,u01,76630,u01
u01_2013-04-12,1377,u01,55491,u01,49322,u01,60936,u01,24997,u01,68118,u01
u01_2013-04-13,789,u01,34711,u01,28885,u01,25351,u01,4064,u01,39661,u01
u01_2013-04-14,358,u01,26506,u01,27107,u01,32673,u01,0,u01,17224,u01
u01_2013-04-15,686,u01,37369,u01,32457,u01,6930,u01,29250,u01,57509,u01
u01_2013-04-16,599,u01,32931,u01,24891,u01,4314,u01,25512,u01,43773,u01
u01_2013-04-17,1263,u01,51885,u01,43446,u01,35116,u01,23878,u01,70651,u01
u01_2013-04-18,1560,u01,41520,u01,31752,u01,24303,u01,4030,u01,68391,u01
u01_2013-04-19,1327,u01,44699,u01,36415,u01,37868,u01,0,u01,45567,u01
u01_2013-04-20,362,u01,21548,u01,18917,u01,53852,u01,17041,u01,34071,u01
u01_2013-04-21,916,u01,34765,u01,27194,u01,53109,u01,24946,u01,83956,u01
u01_2013-04-22,978,u01,44654,u01,38450,u01,69133,u01,29144,u01,72331,u01
u01_2013-04-23,838,u01,18526,u01,12627,u01,22926,u01,0,u01,63924,u01
u01_2013-04-24,580,u01,35031,u01,28521,u01,68798,u01,34694,u01,75694,u01
u01_2013-04-25,903,u01,64483,u01,41301,u01,80071,u01,0,u01,80557,u01
u01_2013-04-26,1503,u01,49225,u01,35396,u01,58406,u01,27059,u01,72980,u01
u01_2013-04-27,1999,u01,58073,u01,36896,u01,31223,u01,32444,u01,82784,u01
u01_2013-04-28,223,u01,40845,u01,23727,u01,20996,u01,0,u01,44091,u01
u01_2013-04-29,826,u01,0,u01,0,u01,63244,u01,31631,u01,67530,u01
u01_2013-04-30,567,u01,31,u01,0,u01,30997,u01,12850,u01,35516,u01
u01_2013-05-01,719,u01,0,u01,0,u01,83882,u01,34072,u01,85836,u01
u01_2013-05-02,1354,u01,11315,u01,13111,u01,74669,u01,24638,u01,86655,u01
u01_2013-05-03,1111,u01,54939,u01,42190,u01,42233,u01,25120,u01,79012,u01
u01_2013-05-04,191,u01,10788,u01,4090,u01,5133,u01,26743,u01,34256,u01
u01_2013-05-05,0,u01,0,u01,0,u01,0,u01,0,u01,0,u01
u01_2013-05-06,0,u01,0,u01,0,u01,0,u01,0,u01,0,u01
u01_2013-05-07,636,u01,21777,u01,14479,u01,9771,u01,4192,u01,14967,u01
u01_2013-05-08,619,u01,51923,u01,40541,u01,31175,u01,0,u01,50827,u01
u01_2013-05-09,1223,u01,47772,u01,40068,u01,9642,u01,0,u01,10215,u01
u01_2013-05-10,1160,u01,45161,u01,37161,u01,23844,u01,31891,u01,39089,u01
u01_2013-05-11,873,u01,48453,u01,34990,u01,10735,u01,0,u01,0,u01
u01_2013-05-12,1141,u01,44333,u01,38438,u01,59120,u01,0,u01,8889,u01
u01_2013-05-13,1115,u01,43196,u01,33559,u01,79391,u01,35100,u01,35067,u01
u01_2013-05-14,1009,u01,40904,u01,34951,u01,30961,u01,11649,u01,40793,u01
u01_2013-05-15,1170,u01,49128,u01,35363,u01,76562,u01,27694,u01,77194,u01
u01_2013-05-16,1168,u01,51203,u01,37386,u01,70918,u01,34250,u01,40390,u01
u01_2013-05-17,1105,u01,50804,u01,38285,u01,32229,u01,0,u01,45126,u01
u01_2013-05-18,774,u01,45680,u01,35565,u01,42106,u01,29164,u01,48095,u01
u01_2013-05-19,747,u01,0,u01,0,u01,34685,u01,0,u01,42862,u01
u01_2013-05-20,0,u01,0,u01,0,u01,0,u01,0,u01,0,u01
u01_2013-05-21,639,u01,0,u01,0,u01,7633,u01,0,u01,44208,u01
u01_2013-05-22,1187,u01,0,u01,0,u01,46433,u01,0,u01,0,u01
u01_2013-05-23,1537,u01,0,u01,0,u01,61054,u01,33237,u01,74432,u01
u01_2013-05-24,112,u01,0,u01,71,u01,0,u01,0,u01,0,u01
u01_2013-05-25,1234,u01,45656,u01,39150,u01,0,u01,0,u01,0,u01
u01_2013-05-26,1071,u01,57208,u01,45611,u01,73161,u01,29721,u01,56861,u01
u01_2013-05-27,533,u01,39904,u01,33903,u01,30414,u01,15172,u01,35820,u01
u01_2013-05-28,1086,u01,29008,u01,25804,u01,8469,u01,10567,u01,42558,u01
u01_2013-05-29,394,u01,7302,u01,5950,u01,,,,,5148,u01
u02_2013-03-26,,,,,,,43613,u02,,,,
u02_2013-03-27,1105,u02,6046,u02,13743,u02,33993,u02,59189,u02,30949,u02
u02_2013-03-28,1130,u02,9029,u02,14291,u02,41459,u02,0,u02,7545,u02
u02_2013-03-29,731,u02,27340,u02,26182,u02,75423,u02,26647,u02,49820,u02
u02_2013-03-30,1223,u02,35719,u02,30437,u02,3726,u02,59328,u02,37727,u02
u02_2013-03-31,2811,u02,36320,u02,24453,u02,46727,u02,5717,u02,0,u02
u02_2013-04-01,494,u02,26226,u02,24795,u02,4111,u02,29719,u02,42952,u02
u02_2013-04-02,737,u02,31895,u02,4950,u02,77631,u02,30503,u02,34539,u02
u02_2013-04-03,836,u02,171,u02,18154,u02,8958,u02,49022,u02,9587,u02
u02_2013-04-04,750,u02,30606,u02,14720,u02,62788,u02,0,u02,38534,u02
u02_2013-04-05,1960,u02,11612,u02,24252,u02,74456,u02,29496,u02,14557,u02
u02_2013-04-06,1637,u02,45166,u02,14766,u02,0,u02,39844,u02,8443,u02
u02_2013-04-07,755,u02,22196,u02,25450,u02,48342,u02,19893,u02,29788,u02
u02_2013-04-08,473,u02,25479,u02,21300,u02,40227,u02,34319,u02,27340,u02
u02_2013-04-09,728,u02,29716,u02,22799,u02,25711,u02,27447,u02,64114,u02
u02_2013-04-10,717,u02,34969,u02,30938,u02,46161,u02,29826,u02,50613,u02
u02_2013-04-11,660,u02,28966,u02,10432,u02,32379,u02,6055,u02,34161,u02
u02_2013-04-12,1298,u02,22904,u02,28336,u02,10152,u02,6939,u02,55273,u02
u02_2013-04-13,609,u02,25553,u02,22634,u02,48072,u02,23729,u02,4077,u02
u02_2013-04-14,460,u02,27891,u02,23615,u02,55692,u02,25548,u02,33808,u02
u02_2013-04-15,736,u02,37639,u02,30585,u02,40934,u02,30523,u02,26004,u02
u02_2013-04-16,635,u02,42235,u02,33179,u02,51108,u02,28707,u02,18294,u02
u02_2013-04-17,905,u02,38600,u02,25119,u02,30643,u02,15255,u02,31012,u02
u02_2013-04-18,749,u02,29811,u02,28166,u02,0,u02,45406,u02,3887,u02
u02_2013-04-19,665,u02,34053,u02,29535,u02,7893,u02,40362,u02,12790,u02
u02_2013-04-20,953,u02,36624,u02,21982,u02,4397,u02,7860,u02,33057,u02
u02_2013-04-21,984,u02,31855,u02,24256,u02,30627,u02,13578,u02,29330,u02
u02_2013-04-22,793,u02,30106,u02,33890,u02,77814,u02,54500,u02,0,u02
u02_2013-04-23,512,u02,38702,u02,35532,u02,18318,u02,42468,u02,39253,u02
u02_2013-04-24,711,u02,44891,u02,15411,u02,29107,u02,0,u02,14511,u02
u02_2013-04-25,543,u02,4339,u02,8140,u02,31477,u02,28038,u02,14458,u02
u02_2013-04-26,550,u02,8781,u02,0,u02,41878,u02,37152,u02,41396,u02
u02_2013-04-27,2341,u02,28,u02,7582,u02,17488,u02,8172,u02,0,u02
u02_2013-04-28,1620,u02,18176,u02,16844,u02,27120,u02,17147,u02,27400,u02
u02_2013-04-29,669,u02,30443,u02,23160,u02,34454,u02,42574,u02,28091,u02
u02_2013-04-30,490,u02,12621,u02,23052,u02,40399,u02,26336,u02,19750,u02
u02_2013-05-01,843,u02,30710,u02,10934,u02,71081,u02,0,u02,39880,u02
u02_2013-05-02,677,u02,8798,u02,4338,u02,16596,u02,6297,u02,60401,u02
u02_2013-05-03,918,u02,12067,u02,39945,u02,33998,u02,15232,u02,4954,u02
u02_2013-05-04,1071,u02,40351,u02,21751,u02,36974,u02,4284,u02,21294,u02
u02_2013-05-05,690,u02,25999,u02,13019,u02,11069,u02,7341,u02,40168,u02
u02_2013-05-06,717,u02,11776,u02,0,u02,51224,u02,13887,u02,16552,u02
u02_2013-05-07,1372,u02,10160,u02,7803,u02,10072,u02,27662,u02,31125,u02
u02_2013-05-08,798,u02,14139,u02,23363,u02,19851,u02,32986,u02,9521,u02
u02_2013-05-09,904,u02,18972,u02,5107,u02,49496,u02,12329,u02,14593,u02
u02_2013-05-10,2699,u02,16689,u02,25125,u02,14172,u02,32736,u02,5447,u02
u02_2013-05-11,1715,u02,37180,u02,9904,u02,28198,u02,24217,u02,24127,u02
u02_2013-05-12,680,u02,13738,u02,12290,u02,0,u02,29211,u02,34679,u02
u02_2013-05-13,859,u02,13906,u02,9360,u02,50434,u02,16267,u02,14554,u02
u02_2013-05-14,692,u02,13290,u02,22378,u02,9588,u02,49122,u02,21212,u02
u02_2013-05-15,1216,u02,35799,u02,2520,u02,48544,u02,4586,u02,24097,u02
u02_2013-05-16,1240,u02,1253,u02,18215,u02,39892,u02,48926,u02,8849,u02
u02_2013-05-17,2140,u02,43186,u02,36588,u02,21958,u02,0,u02,10380,u02
u02_2013-05-18,1753,u02,29480,u02,232,u02,55409,u02,7283,u02,24603,u02
u02_2013-05-19,791,u02,111,u02,9616,u02,42003,u02,44968,u02,33764,u02
u02_2013-05-20,1796,u02,18847,u02,1562,u02,4026,u02,19673,u02,0,u02
u02_2013-05-21,806,u02,119,u02,8683,u02,24325,u02,28195,u02,28355,u02
u02_2013-05-22,531,u02,9800,u02,292,u02,29968,u02,31909,u02,14241,u02
u02_2013-05-23,568,u02,13536,u02,27036,u02,36854,u02,16675,u02,27049,u02
u02_2013-05-24,1963,u02,41154,u02,28218,u02,0,u02,22207,u02,44661,u02
u02_2013-05-25,356,u02,21745,u02,12728,u02,4017,u02,28285,u02,10710,u02
u02_2013-05-26,555,u02,12994,u02,14129,u02,23132,u02,29225,u02,21717,u02
u02_2013-05-27,715,u02,19125,u02,17552,u02,30006,u02,0,u02,27496,u02
u02_2013-05-28,743,u02,17345,u02,52623,u02,22948,u02,44729,u02,13424,u02
u02_2013-05-29,836,u02,76339,u02,31884,u02,56762,u02,0,u02,32881,u02
u02_2013-05-30,1162,u02,22138,u02,29843,u02,23881,u02,10330,u02,18561,u02
u02_2013-05-31,989,u02,51914,u02,10431,u02,,,6008,u02,20702,u02
u03_2013-03-26,,,,,,,66230,u03,20085,u03,77075,u03
u03_2013-03-27,226,u03,13086,u03,14933,u03,36305,u03,23838,u03,48383,u03
